repo,training_set,validation_set,test_set,valiadation_accuracy,test_accuracy,max_depth,min_samples_split,n_estimators,test_False_precision,test_False_recall,test_False_f1-score,test_False_support,test_True_precision,test_True_recall,test_True_f1-score,test_True_support,test_macro avg_precision,test_macro avg_recall,test_macro avg_f1-score,test_macro avg_support,test_weighted avg_precision,test_weighted avg_recall,test_weighted avg_f1-score,test_weighted avg_support,validation_False_precision,validation_False_recall,validation_False_f1-score,validation_False_support,validation_True_precision,validation_True_recall,validation_True_f1-score,validation_True_support,validation_macro avg_precision,validation_macro avg_recall,validation_macro avg_f1-score,validation_macro avg_support,validation_weighted avg_precision,validation_weighted avg_recall,validation_weighted avg_f1-score,validation_weighted avg_support
airflow,9013,420,414,0.6333,0.5507,10,5,100,0.8924,0.5512,0.6815,361.0,0.1518,0.5472,0.2377,53.0,0.5221,0.5492,0.4596,414.0,0.7976,0.5507,0.6247,414.0,0.8924,0.5512,0.6815,361.0,0.1518,0.5472,0.2377,53.0,0.5221,0.5492,0.4596,414.0,0.7976,0.5507,0.6247,414.0
cpython,4245,233,240,0.7382,0.8208,5,2,50,0.907,0.8945,0.9007,218.0,0.08,0.0909,0.0851,22.0,0.4935,0.4927,0.4929,240.0,0.8312,0.8208,0.8259,240.0,0.907,0.8945,0.9007,218.0,0.08,0.0909,0.0851,22.0,0.4935,0.4927,0.4929,240.0,0.8312,0.8208,0.8259,240.0
scikit-learn,4170,208,167,0.4327,0.3234,5,10,50,0.9565,0.1642,0.2803,134.0,0.2222,0.9697,0.3616,33.0,0.5894,0.5669,0.3209,167.0,0.8114,0.3234,0.2963,167.0,0.9565,0.1642,0.2803,134.0,0.2222,0.9697,0.3616,33.0,0.5894,0.5669,0.3209,167.0,0.8114,0.3234,0.2963,167.0
celery,2402,159,151,0.7736,0.9272,5,5,100,0.9333,0.9929,0.9622,141.0,0.0,0.0,0.0,10.0,0.4667,0.4965,0.4811,151.0,0.8715,0.9272,0.8985,151.0,0.9333,0.9929,0.9622,141.0,0.0,0.0,0.0,10.0,0.4667,0.4965,0.4811,151.0,0.8715,0.9272,0.8985,151.0
transformers,1636,93,107,0.8387,0.8411,5,5,50,0.9462,0.88,0.9119,100.0,0.1429,0.2857,0.1905,7.0,0.5445,0.5829,0.5512,107.0,0.8937,0.8411,0.8647,107.0,0.9462,0.88,0.9119,100.0,0.1429,0.2857,0.1905,7.0,0.5445,0.5829,0.5512,107.0,0.8937,0.8411,0.8647,107.0
localstack,1609,74,71,0.4595,0.4648,5,5,50,0.8519,0.4035,0.5476,57.0,0.2273,0.7143,0.3448,14.0,0.5396,0.5589,0.4462,71.0,0.7287,0.4648,0.5076,71.0,0.8519,0.4035,0.5476,57.0,0.2273,0.7143,0.3448,14.0,0.5396,0.5589,0.4462,71.0,0.7287,0.4648,0.5076,71.0
spaCy,2232,94,93,0.5638,0.5591,10,5,50,0.8571,0.5526,0.672,76.0,0.2273,0.5882,0.3279,17.0,0.5422,0.5704,0.4999,93.0,0.742,0.5591,0.6091,93.0,0.8571,0.5526,0.672,76.0,0.2273,0.5882,0.3279,17.0,0.5422,0.5704,0.4999,93.0,0.742,0.5591,0.6091,93.0
yolov5,1047,38,39,0.3684,0.4359,10,10,100,0.8462,0.3548,0.5,31.0,0.2308,0.75,0.3529,8.0,0.5385,0.5524,0.4265,39.0,0.7199,0.4359,0.4698,39.0,0.8462,0.3548,0.5,31.0,0.2308,0.75,0.3529,8.0,0.5385,0.5524,0.4265,39.0,0.7199,0.4359,0.4698,39.0
numpy,777,32,32,0.4375,0.5938,5,10,50,0.9412,0.5714,0.7111,28.0,0.2,0.75,0.3158,4.0,0.5706,0.6607,0.5135,32.0,0.8485,0.5938,0.6617,32.0,0.9412,0.5714,0.7111,28.0,0.2,0.75,0.3158,4.0,0.5706,0.6607,0.5135,32.0,0.8485,0.5938,0.6617,32.0
jax,664,26,34,0.6154,0.2647,5,2,200,1.0,0.1379,0.2424,29.0,0.1667,1.0,0.2857,5.0,0.5833,0.569,0.2641,34.0,0.8775,0.2647,0.2488,34.0,1.0,0.1379,0.2424,29.0,0.1667,1.0,0.2857,5.0,0.5833,0.569,0.2641,34.0,0.8775,0.2647,0.2488,34.0
poetry,2081,74,75,0.4459,0.32,10,5,200,0.9286,0.2063,0.3377,63.0,0.1803,0.9167,0.3014,12.0,0.5544,0.5615,0.3195,75.0,0.8089,0.32,0.3319,75.0,0.9286,0.2063,0.3377,63.0,0.1803,0.9167,0.3014,12.0,0.5544,0.5615,0.3195,75.0,0.8089,0.32,0.3319,75.0
openpilot,1437,70,71,0.6714,0.662,10,5,50,0.9524,0.6452,0.7692,62.0,0.2414,0.7778,0.3684,9.0,0.5969,0.7115,0.5688,71.0,0.8623,0.662,0.7184,71.0,0.9524,0.6452,0.7692,62.0,0.2414,0.7778,0.3684,9.0,0.5969,0.7115,0.5688,71.0,0.8623,0.662,0.7184,71.0
